🗻央视频道,#genre#
金色学堂,https://php.61073736.repl.co/cqyx.php?id=jinse
收藏天下,https://php.61073736.repl.co/cqyx.php?id=soucang
财富天下,https://php.61073736.repl.co/cqyx.php?id=caifu
女性时尚,https://php.61073736.repl.co/cqyx.php?id=nvxing
中学生,https://php.61073736.repl.co/cqyx.php?id=qicai
天元围棋,https://php.61073736.repl.co/cqyx.php?id=weiqi
先锋乒羽,https://php.61073736.repl.co/cqyx.php?id=xianfeng
环球旅游,https://php.61073736.repl.co/cqyx.php?id=huanqiulvyou
老故事,https://php.61073736.repl.co/cqyx.php?id=gushi
摄影频道,https://php.61073736.repl.co/cqyx.php?id=sheying
凤凰中文台,http://php.17186.eu.org/phtv/fhzx.m3u8
凤凰台咨询,http://php.17186.eu.org/phtv/fhzx.m3u8
凤凰香港台,http://php.17186.eu.org/phtv/fhxg.m3u8
翡翠台,https://pi.0472.org/tv/fct.php?auth=231013
明珠台,https://pi.0472.org/tv/mzt.php?auth=231013
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
澳视澳门,https://pi.0472.org/tv/asam.php?auth=231013
澳亚卫视,https://pi.0472.org/tv/aoya.php?auth=231013
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
莲花卫视,https://cntv.sbs/tv/lhws.php
