全部,#genre#
浙江卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225928/index.m3u8?servicetype=1
东方卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225942/index.m3u8?servicetype=1
深圳卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225951/index.m3u8?servicetype=1
湖北卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225954/index.m3u8?servicetype=1
江西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225957/index.m3u8?servicetype=1
辽宁卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226007/index.m3u8?servicetype=1
山东卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226010/index.m3u8?servicetype=1
黑龙江卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226019/index.m3u8?servicetype=1
天津卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226022/index.m3u8?servicetype=1
江苏卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226025/index.m3u8?servicetype=1
康巴卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226270/index.m3u8?servicetype=1
安多卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226271/index.m3u8?servicetype=1
延边卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226273/index.m3u8?servicetype=1
兵团卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226311/index.m3u8?servicetype=1
欢乐剧场,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226049/index.m3u8?servicetype=1
金鹰纪实,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225699/index.m3u8?servicetype=1
卡酷少儿,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225730/index.m3u8?servicetype=1
广东珠江,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225717/index.m3u8?servicetype=1
纯享4K,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225726/index.m3u8?servicetype=1
中国功夫,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225690/index.m3u8?servicetype=1
高尔夫网球,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225884/index.m3u8?servicetype=1
广西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225767/index.m3u8
北京卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225651/index.m3u8
天津卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225675/index.m3u8
河北卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225773/index.m3u8
山西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225785/index.m3u8
内蒙古卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225751/index.m3u8
辽宁卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225779/index.m3u8
吉林卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225678/index.m3u8
黑龙江卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226019/index.m3u8
东方卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225718/index.m3u8
江苏卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225722/index.m3u8
浙江卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225731/index.m3u8
安徽卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225701/index.m3u8
东南卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225904/index.m3u8
江西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225957/index.m3u8
山东卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226010/index.m3u8
河南卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225806/index.m3u8
河北卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225773/index.m3u8
湖北卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225721/index.m3u8
湖南卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225719/index.m3u8
广东卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225666/index.m3u8
海南卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225752/index.m3u8
重庆卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225745/index.m3u8
四川卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225757/index.m3u8
贵州卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225770/index.m3u8
云南卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225794/index.m3u8
西藏卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225800/index.m3u8
陕西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225754/index.m3u8
甘肃卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225764/index.m3u8
青海卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225705/index.m3u8
宁夏卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225782/index.m3u8
新疆卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225788/index.m3u8
广东珠江,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225717/index.m3u8
大湾区卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225748/index.m3u8
深圳卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225725/index.m3u8
厦门卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225823/index.m3u8
延边卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226273/index.m3u8
康巴卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226270/index.m3u8
安多卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226271/index.m3u8
兵团卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225795/index.m3u8
山东教育卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225708/index.m3u8
西藏卫视藏语,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225828/index.m3u8
CETV1,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225776/index.m3u8
CETV2,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225881/index.m3u8
CETV4,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225723/index.m3u8

内蒙古卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225751/index.m3u8?
黑龙江卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225734/index.m3u8?
黑龙江卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225955/index.m3u8?
黑龙江卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221226019/index.m3u8?
兵团卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225795/index.m3u8?
甘肃卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225764/index.m3u8?
广西卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225767/index.m3u8?
青海卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225705/index.m3u8?
厦门卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225823/index.m3u8?
山西卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225785/index.m3u8?
陕西卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225754/index.m3u8?
四川卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225757/index.m3u8?
西藏卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225828/index.m3u8?
云南卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225794/index.m3u8?
安徽卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225701/index.m3u8?
安徽卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225886/index.m3u8?
安徽卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221226034/index.m3u8?
北京卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225651/index.m3u8?
北京卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225889/index.m3u8?
北京卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225907/index.m3u8?

东方卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225718/index.m3u8?
东方卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225942/index.m3u8?
东方卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221226040/index.m3u8?
东南卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225904/index.m3u8?
广东卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225666/index.m3u8?
广东卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225964/index.m3u8?
广东珠江,http://111.12.110.7:6610/PLTV/77777777/224/3221225717/index.m3u8?
广西卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225986/index.m3u8?
贵州卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225770/index.m3u8?
海南卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225752/index.m3u8?
河北卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225773/index.m3u8?
河南卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225806/index.m3u8?
湖北卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225721/index.m3u8?
湖北卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225954/index.m3u8?
湖北卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225969/index.m3u8?
湖南卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225719/index.m3u8?
湖南卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225919/index.m3u8?
吉林卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225678/index.m3u8?
